Paintings,"Score (P,U)",Room_ID,image,Stories,"Score (P,pop)",Score_AG (P),Time_est
000-057A-0000,0.8699012554146971,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-01TY-0000/full/256,/0/default.jpg",Uncategorised,0,0.6017634629493105,19
000-0191-0000,0.8698786274971426,006-0026-0000,"https://media.ng-london.org.uk/iiif/009-00DQ-0000/full/256,/0/default.jpg",Uncategorised,0,0.6017478098462231,56
000-04NP-0000,0.8697999285309308,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-00RY-0000/full/256,/0/default.jpg",Water,0,0.6016933689977436,54
000-04SN-0000,0.8696659090425771,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-012L-0000/full/256,/0/default.jpg",Uncategorised,0,0.6016006595885866,18
000-03F4-0000,0.8696347997865771,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-00O2-0000/full/256,/0/default.jpg",Uncategorised,0,0.6015791394292538,23
000-06L0-0000,0.8694769722072575,006-001Y-0000,"https://media.ng-london.org.uk/iiif/009-00A4-0000/full/256,/0/default.jpg",Uncategorised,0,0.6014699605194762,15
000-04JK-0000,0.8694146647919077,006-001J-0000,"https://media.ng-london.org.uk/iiif/009-00O5-0000/full/256,/0/default.jpg",Uncategorised,0,0.601426858700971,49
000-04JJ-0000,0.8694115235728583,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-01S0-0000/full/256,/0/default.jpg",Uncategorised,0,0.6014246857292214,41
000-02YO-0000,0.8693493833513282,006-001D-0000,"https://media.ng-london.org.uk/iiif/009-00QR-0000/full/256,/0/default.jpg",Uncategorised,0,0.6013816995688225,33
000-04RQ-0000,0.8693295030695705,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-01FZ-0000/full/256,/0/default.jpg",Uncategorised,0,0.6013679471720759,22
000-03VO-0000,0.8691705780666177,006-001C-0000,"https://media.ng-london.org.uk/iiif/009-0074-0000/full/256,/0/default.jpg",Uncategorised,0,0.6012580091078061,35
000-0CEM-0000,0.8691608368546162,006-000E-0000,"https://media.ng-london.org.uk/iiif/009-00X0-0000/full/256,/0/default.jpg",Uncategorised,0,0.6012512705206035,23
000-01AN-0000,0.8691115045634055,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-0017-0000/full/256,/0/default.jpg",Uncategorised,0,0.6012171443824821,20
000-03WR-0000,0.8688681948748389,006-000W-0000,"https://media.ng-london.org.uk/iiif/009-00EP-0000/full/256,/0/default.jpg",Uncategorised,0,0.6010488323127505,18
000-042U-0000,0.8687277183898181,006-0026-0000,"https://media.ng-london.org.uk/iiif/009-01I2-0000/full/256,/0/default.jpg",Uncategorised,0,0.6009516562073445,35
000-03M3-0000,0.8686788915545769,006-0022-0000,"https://media.ng-london.org.uk/iiif/009-01NL-0000/full/256,/0/default.jpg",Uncategorised,0,0.6009178797237761,41
000-02WR-0000,0.8686365590780003,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-016G-0000/full/256,/0/default.jpg",Uncategorised,0,0.6008885957820167,49
000-03PT-0000,0.8684242181964379,006-0007-0000,"https://media.ng-london.org.uk/iiif/009-00IK-0000/full/256,/0/default.jpg",Uncategorised,0,0.6007417067145285,57
000-02Z5-0000,0.8682401569861526,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-00CQ-0000/full/256,/0/default.jpg",Uncategorised,0,0.6006143804109895,17
000-02NN-0000,0.8681850173424768,006-000U-0000,"https://media.ng-london.org.uk/iiif/009-00M2-0000/full/256,/0/default.jpg",Uncategorised,0,0.6005762369749182,52
000-019A-0000,0.8681778768994031,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-01TU-0000/full/256,/0/default.jpg",Uncategorised,0,0.6005712974973347,36
000-04G9-0000,0.8681077576927718,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-01TN-0000/full/256,/0/default.jpg",Uncategorised,0,0.6005227917889695,21
000-04UH-0000,0.8681030816300366,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-0071-0000/full/256,/0/default.jpg",Uncategorised,0,0.6005195570727451,27
000-0440-0000,0.8680807167520133,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-00TZ-0000/full/256,/0/default.jpg",Uncategorised,0,0.6005040859300562,32
000-04MS-0000,0.8677738221015119,006-000M-0000,"https://media.ng-london.org.uk/iiif/009-00SM-0000/full/256,/0/default.jpg",Uncategorised,0,0.600291788285356,49
000-03JY-0000,0.8674868650986496,006-000C-0000,"https://media.ng-london.org.uk/iiif/009-00YZ-0000/full/256,/0/default.jpg",Uncategorised,0,0.6000932827208622,22
000-03W3-0000,0.8674716119920741,006-0010-0000,"https://media.ng-london.org.uk/iiif/009-01HT-0000/full/256,/0/default.jpg",Uncategorised,0,0.6000827312218542,40
000-03FU-0000,0.8674649863932702,006-001M-0000,"https://media.ng-london.org.uk/iiif/009-00AU-0000/full/256,/0/default.jpg",Uncategorised,0,0.6000781478932803,58
000-03G7-0000,0.8674025382291339,006-001M-0000,"https://media.ng-london.org.uk/iiif/009-01EF-0000/full/256,/0/default.jpg",Uncategorised,0,0.6000349487103023,51
000-04OO-0000,0.8673329721782532,006-0026-0000,"https://media.ng-london.org.uk/iiif/009-01H7-0000/full/256,/0/default.jpg",Uncategorised,0,0.5999868256533218,51
000-03O6-0000,0.8673175444938761,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-00N2-0000/full/256,/0/default.jpg",Uncategorised,0,0.5999761533882593,22
000-02PV-0000,0.8672181501593923,006-001M-0000,"https://media.ng-london.org.uk/iiif/009-00U4-0000/full/256,/0/default.jpg",Uncategorised,0,0.5999073962982514,58
000-03S8-0000,0.8670357882417004,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-012F-0000/full/256,/0/default.jpg",Uncategorised,0,0.5997812454984711,40
