Paintings,"Score (P,U)",Room_ID,image,Stories,"Score (P,pop)",Score_AG (P),Time_est
000-03Q9-0000,0.9377780030651448,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-017P-0000/full/256,/0/default.jpg",Womens Lives,0,0.6487179264193029,23
000-02OU-0000,0.9377192557298736,006-002K-0000,"https://media.ng-london.org.uk/iiif/009-002J-0000/full/256,/0/default.jpg",Battles_and_Commanders,0,0.6486772873241277,29
000-04TE-0000,0.93673619597106,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-00GR-0000/full/256,/0/default.jpg",Uncategorised,0,0.6479972452606549,16
000-02TP-0000,0.9354992482721642,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-015Y-0000/full/256,/0/default.jpg",Uncategorised,0,0.6471415735092446,15
000-03ZR-0000,0.9353878761963648,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-00X7-0000/full/256,/0/default.jpg",Womens Lives,0,0.6470645306890489,20
000-03S3-0000,0.9339518343056984,006-001A-0000,"https://media.ng-london.org.uk/iiif/009-008O-0000/full/256,/0/default.jpg",Uncategorised,0,0.6460711334089683,15
000-02XP-0000,0.9338776562479184,006-0016-0000,"https://media.ng-london.org.uk/iiif/009-01QC-0000/full/256,/0/default.jpg",Monsters_and_Demons,0,0.6460198199470705,20
000-03G8-0000,0.9338604371387418,006-001E-0000,"https://media.ng-london.org.uk/iiif/009-017C-0000/full/256,/0/default.jpg",Migration_Journeys_and_Exile,0,0.6460079084448137,21
000-03WW-0000,0.9319698151111572,006-001C-0000,"https://media.ng-london.org.uk/iiif/009-01KS-0000/full/256,/0/default.jpg",Uncategorised,0,0.6447000505110932,16
000-03ZQ-0000,0.9304232525532936,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-00X3-0000/full/256,/0/default.jpg",Uncategorised,0,0.64363019938179,16
000-016O-0000,0.9296069411137212,006-001R-0000,"https://media.ng-london.org.uk/iiif/009-00Z2-0000/full/256,/0/default.jpg",Uncategorised,0,0.6430655072449933,16
000-02RQ-0000,0.9292128930997876,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-00UQ-0000/full/256,/0/default.jpg",Uncategorised,0,0.6427929203324477,15
000-018Z-0000,0.9290456603807392,006-002M-0000,"https://media.ng-london.org.uk/iiif/009-01X9-0000/full/256,/0/default.jpg",Monsters_and_Demons,0,0.6426772353170433,18
000-04HM-0000,0.9287783584054314,006-0002-0000,"https://media.ng-london.org.uk/iiif/009-00D9-0000/full/256,/0/default.jpg",Womens Lives,0,0.6424923263273009,21
